target_id,target_name,req_id,type,priority,level,description
TGT-01,ParamType,BR-01-01,branch_coverage,high,L3,__call__(None) が convert を呼ばずに None を返すこと
TGT-01,ParamType,BR-01-02,branch_coverage,high,L3,__call__(非None値) が convert を呼び出すこと
TGT-01,ParamType,BR-01-03,branch_coverage,medium,L3,to_info_dict で name 属性がある場合に self.name が使われること
TGT-01,ParamType,BR-01-04,branch_coverage,medium,L3,to_info_dict で name 属性がない場合に param_type が利用されること
TGT-01,ParamType,BR-01-05,branch_coverage,high,L3,fail メソッドが BadParameter を確実に投げること
TGT-01,ParamType,EC-01-01,equivalence_class,medium,L3,convert の既定動作が identity（受け取った値をそのまま返す）であること
TGT-01,ParamType,EC-01-02,equivalence_class,medium,L3,split_envvar_value が None splitter のとき空白分割になること
TGT-01,ParamType,EC-01-03,equivalence_class,low,L3,shell_complete の既定が空リストを返すこと
TGT-01,ParamType,ER-01-01,error_path,high,L3,fail 呼び出しで BadParameter が例外として伝播すること
TGT-01,ParamType,ER-01-02,error_path,medium,L3,name 未設定のサブクラスで to_info_dict は AttributeError にならない（hasattr分岐で保護）
TGT-01,ParamType,DP-01-01,dependency_path,medium,L3,"fail が BadParameter(ctx, param) を正しく構築して投げること"
TGT-01,ParamType,CI-01-01,class_inheritance,high,L3,派生クラスのインスタンスに対して __call__ が派生の convert を呼ぶこと
TGT-01,ParamType,CI-01-02,class_inheritance,medium,L3,すべての派生クラスが convert を有意に上書きしていること（identity返しの検出）
TGT-01,ParamType,CI-01-03,class_inheritance,high,L2,派生クラスの name 属性がクラス特有の値に設定されていること
TGT-01,ParamType,CI-01-04,class_inheritance,high,L3,"convert が Parameter=None, Context=None を許容すること（docstring契約）"
TGT-01,ParamType,CP-01-01,code_pattern,medium,L2,Template Method パターン: 基底の既定動作と派生の上書きが共存できること
TGT-01,ParamType,CP-01-02,code_pattern,medium,L3,ClassVar 宣言された属性をインスタンス単位で上書きした場合、他インスタンスに波及しないこと
TGT-01,ParamType,EN-01-01,encapsulation,medium,L3,"name, is_composite, arity, envvar_list_splitter は派生で任意に上書きできる public class attribute であること"
TGT-01,ParamType,EN-01-02,encapsulation,high,L3,name 未設定のサブクラスでも to_info_dict が例外を投げずに完了すること（hasattr 保護の契約）
TGT-02,StringParamType,BR-02-01,branch_coverage,high,L3,bytes 入力時に argv encoding でデコードされること
TGT-02,StringParamType,BR-02-02,branch_coverage,high,L3,非bytes入力時に str(value) が返されること
